month,state,soil type,seed type,weather condition,irrigation,fertilizer usage,pesticide usage,corn price(INR/kg),quality
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,291,30,21,Silkcut
November,Sikkim,Red soil,Hybrid,Monsoon,Yes,282,51,22,Pure
August,Assam,Black soil,Hybrid,Hot and dry,Yes,345,130,29,Pure
August,Jharkhand,Sandy soil,Hybrid,Hot and humid,Yes,307,129,22,Discolored
March,Mizoram,Black soil,Hybrid,Hot and humid,Yes,345,39,40,Broken
November,Mizoram,Sandy soil,Open-pollinated,Warm and dry,Yes,292,91,21,Pure
March,Bihar,Sandy soil,Open-pollinated,Warm and dry,Yes,120,22,21,Pure
December,Meghalaya,Red soil,Hybrid,Warm and dry,Yes,120,69,27,Pure
August,Jharkhand,Peaty soil,Open-pollinated,Monsoon,Yes,283,130,41,Discolored
February,Tripura,Clay loam,Open-pollinated,Warm and dry,Yes,148,30,28,Silkcut
March,Haryana,Red soil,Open-pollinated,Warm and dry,Yes,179,41,26,Broken
August,Sikkim,Sandy soil,Open-pollinated,Cold and dry,Yes,257,127,41,Pure
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,151,29,21,Silkcut
December,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,121,40,21,Broken
December,Assam,Clay loam,Hybrid,Monsoon,Yes,281,101,20,Silkcut
November,West Bengal,Sandy soil,Hybrid,Cold and dry,Yes,302,49,21,Broken
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,150,30,22,Silkcut
February,Haryana,Black soil,Hybrid,Monsoon,Yes,262,127,21,Silkcut
January,Punjab,Sandy loam,Hybrid,Hot and dry,Yes,287,21,20,Pure
January,Nagaland,Sandy loam,Hybrid,Hot and humid,Yes,182,40,25,Broken
October,Mizoram,Sandy soil,Hybrid,Hot and humid,Yes,280,130,31,Silkcut
January,Punjab,Sandy loam,Hybrid,Hot and dry,No,120,22,25,Pure
April,Meghalaya,Clay soil,Hybrid,Hot and humid,Yes,120,39,21,Discolored
January,Meghalaya,Clay soil,Open-pollinated,Hot and humid,Yes,304,127,44,Broken
December,Jharkhand,Sandy soil,Open-pollinated,Monsoon,Yes,217,102,27,Discolored
December,Nagaland,Clay soil,Hybrid,Monsoon,Yes,278,124,42,Discolored
October,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,148,30,21,Silkcut
January,Tripura,Red soil,Hybrid,Warm and dry,Yes,298,20,27,Silkcut
May,West Bengal,Black soil,Hybrid,Hot and humid,Yes,179,40,29,Silkcut
March,Haryana,Red soil,Hybrid,Hot and humid,Yes,298,41,32,Silkcut
May,Nagaland,Black soil,Open-pollinated,Warm and dry,Yes,179,40,37,Broken
September,West Bengal,Black soil,Open-pollinated,Monsoon,Yes,271,106,42,Pure
